"Title","screens","firstDay","openingNote","firstWeekend","totalNetGross","ratings","firstWeek","budget","indiaGross","overseasGross","worldwideGross","allTimeRank","footfalls","adjustedNetGross","overseasFirstWeekend","worldwideFirstWeekend","overseasFirstWeek","worldwideFirstWeek","Release Date","Runtime","Genre"
"Hunterrr","725","--",,"--","Total Nett Gross: 12,86,50,000","51.36% (22 Ratings)","9,23,00,000","9,00,00,000","17,46,00,000","$---","17,46,00,000","501","$---","--","$---","12,55,28,000","20 Mar 2015","141 min","Comedy"
"MSG 2 - The Messenger","500","85,00,000",,"2,67,00,000","Total Nett Gross: 12,65,25,000","83.75% (12 Ratings)","4,02,25,000","23,00,00,000","17,18,00,000","$30,000","17,37,72,500","1236","$23,000","3,78,24,250","$---","5,47,06,000","18 Sep 2015","133 min","Drama"
"Manjhi - The Mountain Man","575","1,34,00,000",,"6,17,00,000","Total Nett Gross: 13,53,50,000","65.40% (25 Ratings)","9,64,00,000","8,50,00,000","17,24,00,000","$---","17,24,00,000","502","$---","7,83,59,000","$---","12,24,28,000","21 Aug 2015","124 min","Drama"
"MSG - The Messenger Of God","650","2,28,00,000",,"6,49,00,000","Total Nett Gross: 12,92,50,000","63.67% (15 Ratings)","10,20,00,000","30,00,00,000","16,65,00,000","$40,000","16,89,90,000","1242","$30,000","8,43,43,500","$13,000","13,23,89,250","13 Feb 2015","197 min","Drama"
"Ek Paheli Leela","2000","3,41,00,000",,"10,36,00,000","Total Nett Gross: 18,51,50,000","41.67% (15 Ratings)","16,32,00,000","23,00,00,000","25,19,00,000","$60,000","25,56,20,000","850","$30,000","14,27,56,000","$50,000","22,50,52,000","10 Apr 2015","144 min","Love Story"
"Alone","1600","3,38,00,000",,"11,17,00,000","Total Nett Gross: 18,71,00,000","36.54% (13 Ratings)","16,76,00,000","19,00,00,000","25,07,00,000","$125,000","25,84,50,000","847","$75,000","15,43,28,000","$100,000","23,07,84,000","16 Jan 2015","133 min","Horror"
"Mr. X","2100","3,86,00,000",,"11,94,00,000","Total Nett Gross: 19,34,75,000","33.08% (13 Ratings)","17,59,00,000","37,00,00,000","25,69,00,000","$650,000","29,73,62,500","1171","$430,000","18,55,69,500","$550,000","26,81,84,500","17 Apr 2015","134 min","Sci Fi / Fantasy"
"Shamitabh","1600","3,45,00,000",,"12,87,00,000","Total Nett Gross: 21,74,50,000","49.06% (16 Ratings)","18,32,00,000","49,00,00,000","29,10,00,000","$1,300,000","37,12,75,000","1167","$830,000","22,37,10,500","$1,060,000","31,09,43,000","6 Feb 2015","153 min","Drama"
"Jazbaa","1650","3,94,00,000",,"14,29,00,000","Total Nett Gross: 22,47,50,000","42.33% (30 Ratings)","19,86,00,000","28,00,00,000","31,12,00,000","$1,830,000","42,96,92,500","837","$1,210,000","27,55,49,500","$1,560,000","37,50,78,000","9 Oct 2015","122 min","Thriller"
"Bombay Velvet","2550","5,24,00,000",,"16,19,00,000","Total Nett Gross: 22,80,25,000","47.38% (42 Ratings)","22,07,00,000","1,18,00,00,000","30,36,00,000","$2,020,000","43,13,65,000","1163","$1,310,000","29,81,84,500","$1,750,000","40,42,18,500","15 May 2015","151 min","Drama"
"Katti Batti","1250","5,22,00,000",,"15,74,00,000","Total Nett Gross: 23,75,50,000","21.50% (20 Ratings)","21,85,00,000","32,00,00,000","32,78,00,000","$1,500,000","42,64,25,000","823","$950,000","27,96,74,500","$1,310,000","38,76,62,500","18 Sep 2015","138 min","Rom - Com"
"Detective Byomkesh Bakshy","1200","4,01,00,000",,"13,49,00,000","Total Nett Gross: 26,21,50,000","52.42% (33 Ratings)","18,92,00,000","35,00,00,000","34,59,00,000","$1,510,000","43,95,20,000","807","$800,000","22,76,68,000","$1,080,000","31,67,04,000","3 Apr 2015","151 min","Thriller"
"Dum Laga Ke Haisha","775","1,12,00,000",,"6,12,00,000","Total Nett Gross: 30,26,25,000","60.39% (38 Ratings)","10,63,00,000","14,00,00,000","39,91,00,000","$250,000","41,45,37,500","295","$150,000","9,00,46,500","$220,000","15,39,01,000","27 Feb 2015","111 min","Comedy"
"Talvar","675","2,50,00,000",,"8,52,00,000","Total Nett Gross: 30,36,25,000","59.06% (16 Ratings)","15,50,00,000","17,00,00,000","42,20,00,000","$760,000","47,17,80,000","290","$330,000","14,00,43,000","$480,000","24,68,90,000","2 Oct 2015","132 min","Drama"
"Hero","2100","6,69,00,000",,"20,65,00,000","Total Nett Gross: 31,32,25,000","56.17% (47 Ratings)","29,30,00,000","36,00,00,000","43,36,00,000","$725,000","48,18,12,500","698","$400,000","31,15,70,000","$575,000","44,25,77,500","11 Sep 2015","131 min","Love Story"
"NH 10","1000","3,26,00,000",,"12,99,00,000","Total Nett Gross: 31,53,25,000","98.33% (6 Ratings)","20,31,00,000","18,00,00,000","42,17,00,000","$1,110,000","49,10,75,000","291","$530,000","20,71,91,000","$710,000","31,65,29,000","13 Mar 2015","114 min","Drama"
"Hamari Adhuri Kahani","1750","4,99,00,000",,"16,31,00,000","Total Nett Gross: 32,99,00,000","38.18% (33 Ratings)","26,95,00,000","40,00,00,000","40,48,00,000","$1,780,000","51,87,20,000","692","$970,000","26,26,93,000","$1,480,000","42,62,05,000","12 Jun 2015","131 min","Love Story"
"Tevar","2850","6,82,00,000",,"21,67,00,000","Total Nett Gross: 35,55,00,000","33.95% (19 Ratings)","31,91,00,000","54,00,00,000","46,95,00,000","$1,530,000","56,51,25,000","661","$1,070,000","35,72,56,000","$1,390,000","50,80,87,000","9 Jan 2015","159 min","Masala"
"Roy","2350","9,39,00,000",,"24,87,00,000","Total Nett Gross: 35,87,00,000","45.88% (40 Ratings)","33,73,00,000","50,00,00,000","47,68,00,000","$1,340,000","56,02,15,000","709","$860,000","38,43,06,000","$1,150,000","52,01,96,500","13 Feb 2015","147 min","Thriller"
"Shaandaar","2500","11,71,00,000",,"25,32,00,000","Total Nett Gross: 39,48,25,000","44.09% (11 Ratings)","35,95,00,000","69,00,00,000","54,38,00,000","$3,280,000","75,70,00,000","665","$1,890,000","47,22,66,000","$2,560,000","66,25,10,000","22 Oct 2015","143 min","Rom - Com"
"Kis Kisko Pyaar Karoon","1700","7,68,00,000",,"24,03,00,000","Total Nett Gross: 42,12,00,000","50.40% (25 Ratings)","36,80,00,000","16,00,00,000","58,40,00,000","$2,000,000","71,60,00,000","203","$1,230,000","41,51,97,000","$1,650,000","62,04,20,000","25 Sep 2015","136 min","Comedy"
"Hate Story 3","2600","8,54,00,000",,"23,61,00,000","Total Nett Gross: 43,57,50,000","5.00% (1 Ratings)","34,77,00,000","20,00,00,000","60,55,00,000","$250,000","62,21,25,000","199","$125,000","33,64,91,500","$170,000","49,46,08,000","4 Dec 2015","131 min","Thriller"
"Badlapur","1700","6,90,00,000",,"23,15,00,000","Total Nett Gross: 49,62,00,000","58.75% (40 Ratings)","35,96,00,000","29,00,00,000","67,37,00,000","$1,860,000","78,90,20,000","200","$1,050,000","37,99,40,000","$1,380,000","57,46,16,000","20 Feb 2015","135 min","Thriller"
"Phantom","2600","8,39,00,000",,"33,23,00,000","Total Nett Gross: 51,44,50,000","60.70% (129 Ratings)","46,04,00,000","72,00,00,000","71,24,00,000","$2,000,000","84,44,00,000","604","$1,160,000","53,51,34,000","$1,680,000","74,62,32,000","28 Aug 2015","140 min","Action"
"Pyaar Ka Punchnama 2","1400","6,20,00,000",,"21,54,00,000","Total Nett Gross: 60,38,25,000","47.73% (11 Ratings)","36,80,00,000","22,00,00,000","83,45,00,000","$730,000","88,17,67,500","100","$320,000","31,79,72,000","$450,000","53,69,77,500","16 Oct 2015","136 min","Comedy"
"Tamasha","2050","10,91,00,000",,"38,08,00,000","Total Nett Gross: 68,55,50,000","68.75% (12 Ratings)","52,93,00,000","87,00,00,000","94,92,00,000","$6,250,000","1,36,63,87,500","546","$3,020,000","72,70,89,000","$4,040,000","1,00,01,04,000","27 Nov 2015","151 min","Drama"
